Macs,IPs,ACKs
78:3a:84:d1:5c:b7,10.121.221.143,25
2c:27:d7:3e:ea:e7,10.145.118.61,2
78:3a:84:cb:c0:b4,10.104.221.11,30
c8:f6:50:d5:a9:d3,10.172.217.176,15
c8:f6:50:a1:de:7e,10.119.222.30,29
78:3a:84:b9:6c:1e,10.144.220.176,32
78:fd:94:6b:78:28,10.126.220.31,29
c8:f6:50:5c:ea:f4,10.110.222.6,32
c8:f6:50:e0:f2:56,10.173.215.245,27
78:3a:84:c5:8d:69,10.111.221.140,29
c8:f6:50:a2:98:86,10.173.217.47,27
00:23:12:25:49:ab,10.147.218.201,2
c8:f6:50:ca:fc:5b,10.146.220.66,28
6c:70:9f:7a:50:8c,10.126.220.148,27
04:0c:ce:1b:3f:5a,10.104.223.44,2
c8:f6:50:a1:1f:f0,10.126.220.46,28
c8:f6:50:e3:b4:24,10.173.217.79,25
78:3a:84:c6:a9:25,10.121.222.4,28
c8:f6:50:a1:d4:b4,10.111.221.118,28
c8:f6:50:a2:fd:1e,10.106.222.40,28
00:1f:5b:c4:3e:f2,10.147.218.205,2
c8:f6:50:cd:63:26,10.171.205.185,24
c8:f6:50:d4:b4:57,10.173.217.38,27
78:3a:84:b1:b1:f1,10.144.220.141,27
6c:70:9f:7b:53:38,10.172.218.106,32
78:3a:84:89:b4:56,10.131.222.66,25
c8:f6:50:cc:40:48,10.144.219.178,28
c8:f6:50:cc:9e:de,10.144.219.147,29
78:3a:84:cc:9b:20,10.120.219.239,28
c8:f6:50:a3:d7:c5,10.103.222.6,26
78:3a:84:cf:5a:97,10.122.221.141,31
78:3a:84:cc:25:33,10.106.221.132,27
78:3a:84:b3:2e:b4,10.122.221.124,29
c8:f6:50:a2:ec:f7,10.106.222.71,27
c8:f6:50:e6:fe:9d,10.142.221.35,26
c8:f6:50:cd:bc:25,10.147.219.16,32
c8:f6:50:a1:d3:c6,10.111.221.133,28
00:23:12:25:66:80,10.147.218.165,2
6c:70:9f:7a:1a:81,10.126.220.141,26
00:23:12:25:37:2c,10.124.222.32,2
78:3a:84:ac:0e:c7,10.144.220.193,25
04:e5:36:0a:be:06,10.103.222.106,26
c8:bc:c8:bf:35:fe,10.106.220.243,2
00:23:12:25:3b:b1,10.147.218.200,2
c8:f6:50:ca:2a:4b,10.143.219.191,25
c8:f6:50:a1:d1:ed,10.120.221.27,30
c8:f6:50:d5:f0:a6,10.171.206.198,27
c4:d9:87:c5:f5:cb,10.145.219.163,6
00:11:0a:c9:35:da,10.192.79.12,5
c8:f6:50:df:f2:a9,10.103.222.39,28
78:3a:84:bb:08:76,10.122.221.118,31
04:e5:36:01:47:2b,10.103.222.217,26
78:3a:84:af:73:64,10.122.221.114,32
c8:f6:50:e8:54:44,10.115.220.179,17
c8:f6:50:d7:2f:60,10.173.216.0,26
00:23:12:25:47:ab,10.147.218.133,2
6c:70:9f:7b:83:1f,10.126.220.170,26
c8:f6:50:d5:b1:5c,10.106.222.42,26
6c:70:9f:7a:1d:26,10.122.222.71,26
c8:f6:50:d5:80:76,10.115.220.127,2
78:3a:84:c8:9c:c9,10.111.221.122,27
78:3a:84:cb:4b:da,10.121.221.142,34
c8:f6:50:e0:41:eb,10.119.222.14,27
6c:70:9f:7b:85:fe,10.122.222.94,28
00:23:12:23:b1:c5,10.144.219.90,2
c8:f6:50:e4:a7:5c,10.173.217.72,23
c8:f6:50:d6:e2:b3,10.172.217.34,16
78:3a:84:cb:33:af,10.121.221.254,27
c8:f6:50:a1:d6:9b,10.141.217.42,26
78:3a:84:cb:2e:72,10.111.221.113,29
c8:f6:50:ca:ff:e7,10.171.205.211,16
78:3a:84:c9:cb:91,10.111.221.117,28
c8:f6:50:a2:c5:a9,10.105.199.247,27
a8:88:08:d2:7d:68,10.171.215.6,31
00:23:12:25:60:71,10.147.218.203,2
6c:70:9f:7a:9e:58,10.126.220.169,27
c8:f6:50:58:7f:61,10.110.222.0,28
c4:d9:87:c5:f1:89,10.145.219.162,3
c8:f6:50:a1:ab:fc,10.123.220.203,29
c8:f6:50:cd:8c:86,10.147.219.20,29
78:3a:84:cb:53:84,10.121.222.1,31
c8:f6:50:e6:87:aa,10.103.222.9,30
04:0c:ce:1b:47:de,10.141.223.50,2
c8:f6:50:a1:9e:cb,10.173.215.250,26
c8:f6:50:e4:27:0b,10.173.216.14,27
78:3a:84:ca:8d:64,10.121.221.132,28
c8:f6:50:9e:92:58,10.126.220.99,16
c8:f6:50:e0:a5:01,10.173.216.12,26
c8:f6:50:9f:ff:94,10.106.222.67,27
78:3a:84:ae:b1:ef,10.131.222.146,16
08:00:37:87:be:fd,10.192.79.23,5
04:e5:36:09:1c:d3,10.103.222.114,27
c8:f6:50:a1:a9:b8,10.113.220.164,24
04:0c:ce:1b:3b:62,10.171.219.105,2
c8:f6:50:a1:e4:a3,10.192.197.194,28
d8:30:62:64:50:84,10.120.221.24,5
78:3a:84:cc:20:2f,10.111.221.119,29
6c:70:9f:7b:5b:87,10.122.222.145,28
c8:bc:c8:bc:31:cd,10.120.220.131,5
6c:70:9f:7b:26:b0,10.122.222.114,27
78:3a:84:d0:3d:5f,10.111.221.139,30
c8:f6:50:a7:08:18,10.120.219.229,33
04:0c:ce:1b:41:bd,10.125.221.246,3
78:3a:84:b7:34:b9,10.126.218.152,17
c8:f6:50:a1:d7:dc,10.111.221.121,29
c8:f6:50:a2:ef:cf,10.119.222.26,26
00:19:d1:e8:ad:7f,10.192.109.118,8
c8:f6:50:a4:0c:6f,10.115.221.119,28
c8:f6:50:a1:ae:93,10.173.217.70,21
c8:f6:50:d6:b8:24,10.115.220.206,20
04:0c:ce:1b:44:35,10.126.221.223,4
04:0c:ce:1b:3e:bc,10.101.223.53,2
78:3a:84:ca:fe:41,10.104.221.9,29
c8:f6:50:a1:98:26,10.101.222.66,28
6c:70:9f:7b:83:64,10.122.222.116,31
04:0c:ce:1b:45:20,10.131.223.122,2
c8:f6:50:cd:5a:cd,10.142.219.209,29
04:0c:ce:1b:49:49,10.131.223.129,2
c8:f6:50:d7:2e:31,10.119.221.105,27
c8:f6:50:d5:8c:94,10.119.221.86,26
c8:f6:50:a1:ac:19,10.125.222.77,26
c8:f6:50:e6:06:2a,10.103.221.65,28
78:3a:84:92:bb:8c,10.114.222.17,30
04:0c:ce:1b:46:cd,10.101.223.55,2
c8:f6:50:5d:f8:ac,10.110.222.11,30
e0:66:78:51:a7:0a,10.120.177.14,7
78:3a:84:cd:0f:06,10.111.221.109,29
6c:70:9f:76:24:8d,10.122.222.122,26
78:3a:84:ca:79:70,10.104.221.16,26
a8:88:08:ce:53:e5,10.103.222.141,27
78:3a:84:b2:6c:5f,10.122.221.143,29
00:23:12:25:5e:bb,10.147.218.166,2
78:fd:94:40:27:ea,10.121.222.7,29
78:3a:84:b1:5c:dc,10.104.220.254,30
78:3a:84:ad:aa:a2,10.122.221.117,30
78:3a:84:b0:08:bd,10.104.220.248,28
c8:bc:c8:bf:c0:be,10.120.220.155,3
a8:88:08:9d:e2:ae,10.171.216.174,27
a8:88:08:dd:f6:e4,10.171.214.239,27
00:0d:56:81:97:36,10.171.103.9,1
04:0c:ce:1b:49:54,10.120.222.85,6
c8:f6:50:cc:7b:7c,10.147.219.14,5
a8:88:08:ce:56:f7,10.171.214.243,29
c4:d9:87:c5:0f:f8,10.145.219.140,1
00:23:12:25:5f:c1,10.173.215.65,2
c8:f6:50:a2:e4:87,10.106.222.50,27
c8:f6:50:d5:a8:a6,10.119.221.87,24
c8:f6:50:cc:35:f3,10.144.219.145,27
c8:f6:50:cc:3d:be,10.144.219.137,29
6c:70:9f:74:a4:06,10.147.219.205,25
c8:f6:50:a3:ed:a4,10.103.221.62,25
04:0c:ce:1b:40:15,10.126.222.6,3
c8:f6:50:a0:d6:c7,10.173.217.46,27
c8:bc:c8:bf:be:dc,10.107.221.69,2
04:0c:ce:1b:46:14,10.146.222.183,2
c8:f6:50:cc:a7:be,10.145.219.98,25
78:3a:84:c8:48:df,10.121.221.135,26
c8:f6:50:e0:ff:1c,10.115.220.208,29
c8:f6:50:e7:7e:e8,10.106.221.194,25
78:3a:84:af:9a:07,10.131.222.71,26
04:0c:ce:1b:43:16,10.146.222.152,2
c8:f6:50:a2:fd:4a,10.126.220.186,14
78:3a:84:cb:6c:73,10.141.217.29,15
80:00:0b:21:69:b6,10.145.219.143,6
c8:f6:50:d7:3a:33,10.125.222.67,24
c8:f6:50:cc:c0:8b,10.171.206.142,29
c8:f6:50:a2:c3:47,10.105.199.236,25
c8:f6:50:a1:d2:97,10.173.216.192,27
c8:f6:50:ca:f0:c1,10.144.220.88,25
c8:f6:50:a1:d2:c3,10.113.220.159,25
c8:f6:50:d5:3a:f6,10.103.221.60,24
00:10:49:1c:28:26,10.192.239.238,5
78:3a:84:cb:94:32,10.107.221.89,1
00:23:12:25:5f:25,10.172.217.66,2
78:3a:84:c6:04:8d,10.113.220.175,25
00:23:12:25:49:a1,10.146.222.239,3
c8:f6:50:a1:79:77,10.191.170.247,6
c8:f6:50:e1:ed:ec,10.173.217.14,16
c8:f6:50:d5:ea:9a,10.115.220.182,29
c8:bc:c8:bf:dc:10,10.106.220.250,2
78:3a:84:c0:35:50,10.131.222.151,16
c8:bc:c8:bc:31:e7,10.191.211.27,5
04:0c:ce:1b:51:28,10.103.223.63,2
c8:f6:50:d6:df:c6,10.191.159.0,7
00:10:49:1b:d5:05,10.192.239.231,5
04:0c:ce:1b:45:52,10.103.223.39,2
04:0c:ce:1b:47:e2,10.103.222.228,2
04:0c:ce:1b:42:5e,10.171.219.181,2
78:3a:84:cb:5c:b2,10.122.221.137,30
04:0c:ce:1b:46:de,10.126.221.198,4
c8:f6:50:d5:a4:b2,10.115.220.176,15
00:23:12:25:65:e4,10.147.218.189,2
00:10:49:17:8a:0f,10.191.239.116,5
00:23:12:25:3d:ae,10.147.218.204,2
78:fd:94:2d:fc:20,10.142.221.8,16
04:0c:ce:1b:3f:6c,10.143.222.39,5
04:0c:ce:1b:39:f6,10.143.222.63,4
00:1e:52:c8:12:10,10.147.218.198,2
00:10:49:1a:47:b7,10.192.239.227,5
00:10:49:17:8c:2e,10.191.239.145,5
00:24:6c:c1:26:55,10.192.127.252,5
c8:f6:50:d7:2e:55,10.125.222.72,28
c8:f6:50:a2:81:e7,10.126.220.98,15
00:10:49:16:a4:29,10.191.239.125,5
04:0c:ce:1b:42:aa,10.171.219.180,2
c8:f6:50:a1:eb:bb,10.173.217.73,26
04:0c:ce:1b:3d:61,10.144.221.93,2
04:0c:ce:1b:3a:8a,10.146.222.139,2
04:0c:ce:1b:42:30,10.146.222.141,2
78:3a:84:d0:ae:46,10.121.221.139,24
00:10:49:1c:27:9e,10.192.239.204,5
78:3a:84:8e:56:04,10.126.219.243,16
c8:f6:50:cc:67:d0,10.171.206.161,21
10:9a:dd:54:08:75,10.191.125.41,3
c8:f6:50:d5:a1:ec,10.115.220.107,20
78:3a:84:c0:1b:96,10.113.221.171,17
00:10:49:17:8b:74,10.191.239.234,5
04:0c:ce:1b:45:49,10.126.221.195,2
c8:f6:50:d6:df:fd,10.173.217.35,27
78:3a:84:c1:df:17,10.144.220.107,25
c8:f6:50:cc:56:90,10.145.220.47,26
00:10:49:17:93:f9,10.191.239.130,5
c8:f6:50:a1:ed:cf,10.120.221.37,28
04:0c:ce:1b:3d:25,10.125.223.61,2
00:23:24:26:75:21,10.191.127.188,6
00:10:49:1b:ce:10,10.191.239.210,5
04:0c:ce:1b:46:82,10.126.222.21,2
04:0c:ce:1b:38:8e,10.145.222.139,2
c8:bc:c8:c7:ed:80,10.125.221.243,3
00:10:49:16:d1:4e,10.191.239.245,5
00:10:49:1b:ce:0f,10.2.228.136,5
c8:f6:50:d6:e4:34,10.171.205.227,30
00:10:49:1c:25:39,10.191.239.198,5
c8:f6:50:5f:ae:88,10.110.222.14,4
c8:f6:50:e5:1e:7c,10.126.220.154,27
00:1e:90:09:c2:ce,10.192.127.205,6
00:1f:5b:c4:3e:ec,10.145.219.223,2
c8:f6:50:a2:c9:b3,10.119.222.28,26
78:3a:84:b5:7c:31,10.126.219.116,16
00:10:49:1a:4b:e7,10.192.239.184,5
6c:70:9f:7b:3c:6d,10.126.220.176,26
00:10:49:14:5d:af,10.191.239.11,5
00:23:12:25:3b:d6,10.147.218.187,2
00:23:12:25:4a:89,10.147.218.197,2
00:10:49:17:8b:53,10.191.239.76,5
78:3a:84:90:4b:88,10.126.218.151,18
c8:f6:50:cc:a9:55,10.145.220.49,25
c8:f6:50:a2:1f:21,10.173.217.37,16
6c:f3:7f:ca:30:94,10.192.125.253,5
00:10:49:17:8b:5c,10.191.239.96,5
c8:f6:50:d6:a3:99,10.115.220.112,15
00:10:49:17:99:86,10.191.239.20,5
c8:f6:50:5e:13:64,10.110.222.4,4
04:0c:ce:1b:38:be,10.173.220.127,4
c8:f6:50:61:fb:b6,10.110.222.1,1
c8:f6:50:cc:79:ac,10.171.205.188,29
c8:f6:50:d7:27:88,10.125.222.78,15
04:0c:ce:1b:49:65,10.125.223.58,2
c8:f6:50:d6:de:c4,10.173.215.249,26
80:00:0b:32:ea:97,10.145.219.151,4
5c:96:9d:8d:3d:b7,10.147.221.161,2
78:3a:84:8b:90:b4,10.110.221.36,18
78:7e:61:c6:75:69,10.173.215.233,14
c8:f6:50:df:a6:55,10.173.215.255,26
04:0c:ce:1b:46:92,10.126.221.231,2
00:23:12:25:5f:8f,10.106.223.149,2
04:0c:ce:1b:44:84,10.143.222.62,4
c8:f6:50:e0:a3:18,10.124.222.9,18
c8:bc:c8:b8:5c:59,10.106.220.248,3
c8:f6:50:d6:b0:dd,10.172.216.80,15
2c:f0:ee:97:2b:a2,10.191.156.24,6
78:3a:84:92:1f:bb,10.126.219.244,15
04:0c:ce:1b:49:4e,10.115.222.195,2
c8:bc:c8:bc:31:d1,10.191.214.192,9
78:fd:94:44:0e:8a,10.191.157.220,1
a8:88:08:c5:c7:79,10.191.215.223,14
c8:f6:50:e1:e4:a8,10.126.220.97,16
30:10:e4:c4:5d:28,10.113.222.20,16
78:fd:94:3a:85:d5,10.173.215.35,6
64:31:50:33:f3:6d,10.191.127.253,6
c8:f6:50:e7:c1:bf,10.172.217.183,15
c8:f6:50:e7:79:2a,10.101.222.64,27
04:0c:ce:1b:45:08,10.173.220.161,2
c8:f6:50:a1:8c:c1,10.107.221.84,15
00:23:12:25:41:4a,10.142.219.242,2
c8:f6:50:d6:6a:76,10.172.153.132,5
c8:f6:50:a1:d2:a3,10.192.197.188,5
00:1f:5b:c4:3d:be,10.114.222.44,2
00:23:12:25:3e:32,10.172.217.117,2
78:fd:94:2d:c8:a6,10.110.221.24,15
78:3a:84:cb:da:04,10.192.197.192,6
c8:f6:50:e1:5a:b6,10.105.199.242,27
00:1e:90:0b:5c:33,10.192.127.217,5
00:23:12:25:44:c2,10.113.223.95,2
00:0b:86:cb:0c:6f,10.124.127.236,1
c8:f6:50:a1:97:39,10.131.222.91,14
c8:bc:c8:c7:f6:05,10.191.217.208,6
c8:bc:c8:ca:3f:65,10.141.218.223,2
c8:bc:c8:bc:27:ca,10.106.220.241,2
00:23:12:25:3f:37,10.172.217.24,2
04:0c:ce:1b:48:e6,10.171.219.195,3
04:0c:ce:1b:47:f6,10.171.219.192,2
c8:f6:50:d5:4a:98,10.115.220.211,16
00:10:49:1b:d5:09,10.191.239.136,5
c8:bc:c8:bf:7f:cc,10.106.220.238,3
c8:f6:50:d7:31:56,10.125.221.182,14
00:23:12:25:3e:65,10.103.221.187,2
04:0c:ce:1b:41:8b,10.103.223.68,2
04:0c:ce:1b:47:18,10.131.223.126,2
c8:f6:50:e7:93:ff,10.126.220.181,14
88:51:fb:80:45:c5,10.171.97.22,15
6c:88:14:a5:b3:60,10.171.216.225,14
a8:bb:cf:21:94:a2,10.191.214.255,7
78:7e:61:c7:62:58,10.142.219.204,10
44:2a:60:db:a4:37,10.147.218.156,2
2c:f0:ee:1e:54:f2,10.110.221.112,2
00:23:12:25:64:94,10.120.220.54,2
6c:70:9f:7b:50:80,10.147.219.198,14
f0:db:f8:1c:01:12,10.144.220.190,15
00:10:49:17:8c:1b,10.191.239.155,5
00:10:49:17:8a:6d,10.191.239.78,5
c8:f6:50:cb:f0:52,10.171.205.212,19
c8:bc:c8:c5:f8:66,10.106.220.239,3
c8:f6:50:a3:a1:fd,10.191.208.199,16
c4:d9:87:c5:3d:3e,10.145.219.167,1
10:9a:dd:5b:2a:f0,10.191.125.39,3
00:10:49:17:8a:1b,10.191.239.102,5
70:cd:60:ff:20:a9,10.191.223.233,3
00:10:49:16:d1:8f,10.191.239.195,5
04:0c:ce:1b:42:90,10.126.221.153,2
04:0c:ce:1b:49:3c,10.106.221.0,2
04:0c:ce:1b:49:93,10.126.221.161,2
c8:bc:c8:bc:32:20,10.106.221.6,2
04:0c:ce:1b:43:0c,10.126.222.2,2
00:23:12:23:c1:1e,10.105.199.1,2
00:23:12:25:36:e6,10.145.219.233,2
00:23:12:25:5f:b6,10.172.217.118,2
00:1e:c2:c3:56:1b,10.105.199.0,2
04:0c:ce:1b:43:f4,10.115.222.233,2
c8:bc:c8:c8:05:7b,10.191.217.211,8
78:3a:84:ad:8f:35,10.120.219.255,17
6c:f3:7f:ca:30:a5,10.192.125.248,5
04:0c:ce:1b:4c:0c,10.192.192.13,3
00:10:49:17:88:c4,10.191.239.137,5
78:3a:84:ab:ef:9d,10.191.206.13,14
00:23:12:25:4a:01,10.106.223.18,2
00:23:ae:34:77:4f,10.173.123.46,14
00:23:32:9e:e2:63,10.173.121.233,2
00:10:49:1b:d5:39,10.191.239.104,5
00:10:49:17:8a:9f,10.191.239.231,5
80:00:0b:33:31:f5,10.145.219.145,2
00:23:12:25:39:de,10.172.217.115,2
00:10:49:17:8a:53,10.191.239.248,5
00:10:49:17:8a:76,10.191.239.191,5
00:10:49:15:7f:65,10.191.239.149,5
04:0c:ce:1b:3f:04,10.173.220.189,3
c8:bc:c8:bf:32:9f,10.126.218.137,2
c8:f6:50:cd:c7:03,10.171.206.153,15
04:0c:ce:1b:40:5d,10.101.223.66,2
00:10:49:17:8a:80,10.191.239.174,5
04:0c:ce:1b:42:24,10.146.222.142,3
00:23:12:25:65:a0,10.173.215.129,2
00:10:49:1c:26:d7,10.191.239.186,5
00:10:49:17:94:78,10.191.239.249,5
00:10:49:1a:38:c9,10.191.239.162,5
00:10:49:16:d1:e7,10.191.239.200,5
00:10:49:1a:4b:2f,10.191.239.207,5
04:0c:ce:1b:48:27,10.144.221.246,5
00:10:49:1c:28:2a,10.192.239.205,5
c8:bc:c8:bf:7f:bc,10.120.220.118,3
00:1a:1e:c0:6d:fa,10.2.240.162,5
04:0c:ce:1b:3e:b9,10.173.220.221,3
00:10:49:17:8b:63,10.191.239.223,5
5c:96:9d:8d:44:91,10.171.219.145,2
5c:96:9d:90:4c:21,10.171.219.131,2
5c:96:9d:90:48:5d,10.171.219.133,2
5c:96:9d:8d:3a:f9,10.171.219.141,2
5c:96:9d:8f:fa:09,10.171.219.140,2
78:fd:94:3f:92:21,10.107.220.218,15
c8:bc:c8:b8:74:e1,10.171.215.19,2
00:1f:5b:c4:3f:22,10.105.199.3,2
00:23:12:25:61:ef,10.126.223.235,2
00:10:49:1c:26:0c,10.191.239.87,5
00:23:12:25:66:00,10.172.217.134,2
5c:96:9d:90:10:c1,10.171.219.128,2
5c:96:9d:8d:3a:e7,10.171.219.130,2
78:3a:84:ac:08:3b,10.119.222.0,20
c8:f6:50:a6:9f:b0,10.120.219.230,5
5c:96:9d:89:58:c1,10.171.219.139,2
c8:f6:50:a7:1d:3c,10.120.220.201,6
5c:96:9d:90:36:57,10.171.219.137,2
5c:96:9d:90:3f:53,10.171.219.143,2
5c:96:9d:8d:3b:37,10.171.219.129,2
5c:96:9d:8f:c7:0f,10.171.219.136,2
5c:96:9d:8f:f9:f3,10.171.219.135,2
5c:96:9d:90:4d:c5,10.171.219.144,2
5c:96:9d:90:3b:f7,10.171.219.134,2
5c:96:9d:90:4c:75,10.171.219.142,2
6c:f3:7f:ca:30:fb,10.191.126.154,5
c8:f6:50:e7:74:71,10.126.220.143,16
f0:d1:a9:10:52:a4,10.124.192.10,9
04:0c:ce:1b:4b:b8,10.110.222.227,2
04:0c:ce:1b:41:ed,10.126.221.236,2
04:0c:ce:1b:42:fb,10.146.222.195,5
00:23:12:25:4b:24,10.146.221.235,2
00:23:32:9e:f0:d6,10.172.125.186,6
00:23:12:25:3e:20,10.172.222.114,4
04:0c:ce:1b:42:e4,10.126.221.184,2
6c:70:9f:7b:65:7a,10.122.222.117,14
04:0c:ce:1b:45:33,10.171.219.95,3
04:0c:ce:1b:39:c9,10.171.219.85,2
04:0c:ce:1b:3b:7e,10.171.219.108,3
04:0c:ce:1b:49:67,10.171.219.111,2
04:0c:ce:1b:47:12,10.171.219.70,2
2c:f0:ee:93:33:30,10.171.207.45,15
1c:e6:2b:b9:3b:6f,10.191.216.68,5
04:0c:ce:1b:47:7b,10.142.222.170,3
c8:bc:c8:bf:30:48,10.110.223.238,2
78:fd:94:34:88:39,10.173.215.34,14
78:31:c1:eb:91:5b,10.143.219.74,1
78:e3:b5:9c:53:7a,10.171.102.156,2
04:0c:ce:1b:49:04,10.104.223.54,2
c8:bc:c8:b8:74:ec,10.191.223.208,8
78:fd:94:32:d9:ab,10.110.221.23,14
64:31:50:33:f3:30,10.2.9.10,5
c8:f6:50:d4:bf:57,10.172.216.90,16
78:3a:84:92:81:15,10.144.219.184,16
00:23:12:25:5f:9d,10.126.223.97,2
c8:f6:50:d5:8b:86,10.115.220.177,15
00:23:32:9e:ee:a5,10.146.127.88,2
c8:f6:50:e8:5f:7e,10.172.217.35,14
00:10:49:12:01:26,10.2.226.51,5
00:10:49:16:d1:4d,10.191.239.242,5
04:0c:ce:1b:40:97,10.143.222.40,3
a0:b3:cc:9f:72:33,10.191.79.35,5
10:9a:dd:54:07:3a,10.172.125.172,2
00:23:12:25:5f:a6,10.146.223.128,2
78:fd:94:2d:cb:b3,10.191.209.43,14
00:23:12:25:66:61,10.172.217.132,2
00:10:49:17:8b:59,10.191.239.159,5
00:10:49:17:8a:9d,10.191.239.167,5
6c:f3:7f:ca:31:03,10.192.125.244,5
00:10:49:1c:27:05,10.191.239.119,5
04:0c:ce:1b:47:c3,10.126.221.233,2
00:23:12:25:41:8a,10.145.219.215,2
c8:bc:c8:c7:fe:d3,10.106.221.1,2
00:23:12:25:48:81,10.146.223.143,2
00:1f:5b:c4:3e:0c,10.172.217.19,2
10:9a:dd:52:67:3d,10.126.126.97,2
c8:bc:c8:bc:26:65,10.126.218.157,2
04:0c:ce:1b:44:af,10.146.222.127,2
34:a3:95:29:73:c0,10.123.185.222,7
c8:bc:c8:bf:34:d7,10.110.221.181,4
10:9a:dd:52:69:22,10.191.127.116,3
c8:bc:c8:bc:31:df,10.191.221.93,3
04:0c:ce:1b:46:8c,10.145.222.21,5
00:23:12:25:49:56,10.144.219.55,2
04:0c:ce:1b:40:09,10.110.222.138,1
c8:bc:c8:b8:76:4f,10.191.217.0,8
00:23:12:25:4b:15,10.146.223.75,2
04:0c:ce:1b:44:36,10.146.222.125,3
04:0c:ce:1b:3f:4f,10.173.220.86,2
04:0c:ce:1b:47:0e,10.120.222.165,3
c8:f6:50:e0:e6:c5,10.126.220.166,25
04:0c:ce:1b:4a:7c,10.147.221.151,2
00:23:12:25:65:02,10.146.223.140,2
2c:f0:ee:21:a5:be,10.191.209.238,3
2c:f0:ee:1e:6d:2a,10.110.221.115,1
04:0c:ce:1b:43:fb,10.171.219.170,2
c4:d9:87:c5:1d:2c,10.145.219.142,7
78:3a:84:cb:f9:29,10.120.220.188,5
00:22:41:fb:b8:8f,10.143.223.82,3
04:0c:ce:1b:50:45,10.125.223.57,2
00:1f:5b:c4:3e:46,10.123.223.80,2
04:0c:ce:1b:3b:e3,10.147.221.181,2
04:0c:ce:1b:46:29,10.146.222.182,2
04:0c:ce:1b:42:26,10.146.222.135,2
c8:bc:c8:bf:7f:a7,10.173.215.81,3
c8:bc:c8:bf:c0:86,10.126.218.158,2
04:0c:ce:1b:47:a9,10.107.222.247,2
04:0c:ce:1b:48:d7,10.104.223.52,3
00:1f:29:1f:e9:11,10.191.79.3,5
c8:bc:c8:bf:c2:44,10.120.220.148,3
00:23:12:25:65:c7,10.106.223.101,3
00:23:12:25:48:5e,10.145.219.248,2
04:0c:ce:1b:3e:a3,10.126.221.227,2
78:7e:61:c5:6a:dd,10.191.210.64,9
00:23:12:25:49:39,10.114.222.50,2
04:0c:ce:1b:48:fb,10.147.221.92,2
04:0c:ce:1b:49:9b,10.101.223.40,2
00:23:32:9e:f2:14,10.172.125.181,4
00:23:12:25:5f:f8,10.172.221.208,3
c8:bc:c8:bf:84:51,10.191.219.88,3
b4:b5:2f:f7:c0:6f,10.192.79.10,5
78:e3:b5:9c:53:d5,10.11.127.210,5
04:0c:ce:1b:47:50,10.143.222.46,6
04:0c:ce:1b:41:ff,10.103.223.33,3
04:0c:ce:1b:3c:a3,10.144.222.13,3
10:9a:dd:58:92:99,10.103.126.246,2
00:23:12:25:60:03,10.144.219.100,2
04:0c:ce:1b:3f:08,10.171.220.1,2
c8:bc:c8:c8:04:7b,10.103.221.175,2
d8:30:62:64:64:a4,10.171.216.124,2
c8:bc:c8:b8:8f:04,10.147.222.29,2
5c:96:9d:90:2b:dd,10.107.223.25,2
5c:96:9d:90:1d:ff,10.107.223.24,2
5c:96:9d:90:1e:4b,10.107.223.18,2
5c:96:9d:90:2b:e5,10.107.223.20,2
00:23:12:25:3b:ca,10.120.220.28,2
00:23:12:25:3c:92,10.106.223.84,2
c8:bc:c8:bb:c6:d6,10.173.223.5,2
04:0c:ce:1b:43:0e,10.145.221.244,2
5c:96:9d:8f:f4:09,10.107.223.16,2
5c:96:9d:90:10:ef,10.107.223.22,3
5c:96:9d:8d:15:25,10.107.223.27,2
5c:96:9d:8f:c7:01,10.107.223.21,3
5c:96:9d:90:04:db,10.107.223.26,3
5c:96:9d:8f:fb:fd,10.107.223.23,2
5c:96:9d:90:1d:b9,10.107.223.28,2
5c:96:9d:8f:e3:91,10.107.223.29,3
5c:96:9d:8c:e2:e5,10.107.223.30,2
00:23:12:25:44:7e,10.144.223.46,2
78:fd:94:44:0e:8a,10.192.197.196,24
f0:d1:a9:10:24:8e,10.171.192.23,1
44:2a:60:db:a9:70,10.173.223.54,2
a8:bb:cf:21:a9:b2,10.191.214.242,5
00:23:12:25:66:38,10.126.223.94,2
00:23:12:25:60:6c,10.104.223.11,2
04:0c:ce:1b:46:2b,10.171.219.190,2
00:23:32:9e:f0:53,10.106.127.147,2
00:23:12:25:41:32,10.172.222.113,2
70:cd:60:ff:09:82,10.147.222.34,2
78:fd:94:35:20:c8,10.103.221.144,6
04:0c:ce:1b:49:ca,10.171.219.54,2
04:0c:ce:1b:46:69,10.141.223.44,2
10:ae:60:dd:8d:01,10.191.212.186,8
00:23:12:25:3d:62,10.126.223.242,2
04:0c:ce:1b:41:b4,10.173.220.81,2
c8:f6:50:c9:8b:23,10.191.169.45,5
00:23:32:8c:69:7f,10.191.158.112,5
f0:d1:a9:10:8c:54,10.101.192.10,1
04:0c:ce:1b:44:b7,10.143.222.52,4
00:1b:63:34:47:8f,10.132.127.242,2
74:46:a0:be:60:3e,10.194.127.248,6
78:3a:84:b0:8b:16,10.144.218.214,3
00:25:4b:b0:38:8a,10.192.127.247,5
00:10:49:1b:d0:08,10.191.239.148,5
00:10:49:17:8b:52,10.191.239.101,5
00:10:49:17:8a:f4,10.191.239.164,5
04:0c:ce:1b:42:bc,10.125.223.67,2
00:10:49:1c:28:2f,10.192.239.252,5
00:10:49:17:8a:de,10.191.239.228,5
