DNS,IP
alerts.bellevuecollege.edu,168.156.40.112
news.bellevuecollege.edu,134.39.81.31
vpn.bellevuecollege.edu,192.64.1.250
webftp.bellevuecollege.edu,134.39.81.57
owa.bellevuecollege.edu,134.39.81.247
mail.bellevuecollege.edu,168.156.35.72
www.bellevuecollege.edu,162.159.135.42
www2.bellevuecollege.edu,104.20.20.214
www2.bellevuecollege.edu,172.66.173.2
dev.bellevuecollege.edu,134.39.81.206
